Name,Age,Overall Rating,Potential,Team,Contract expiry,Height,Weight,Strong foot,Value,Full Name,date,year
S. Distin,,,,,,,,,,Sylvain Distin,"Feb 22, 2007",FIFA 07
J. Barton,,,,,,,,,,Joey Barton,"Feb 22, 2007",FIFA 07
G. Neville,,,,,,,,,,Gary Neville,"Feb 22, 2007",FIFA 07
J. Woodgate,,,,,,,,,,Jonathan Woodgate,"Feb 22, 2007",FIFA 07
S. Downing,,,,,,,,,,Stewart Downing,"Feb 22, 2007",FIFA 07
D. Duff,,,,,,,,,,Damien Duff,"Feb 22, 2007",FIFA 07
O. Martins,,,,,,,,,,Obafemi Martins,"Feb 22, 2007",FIFA 07
Y. Benayoun,,,,,,,,,,Yossi Benayoun,"Feb 22, 2007",FIFA 07
A. Ferdinand,,,,,,,,,,Anton Ferdinand,"Feb 22, 2007",FIFA 07
N. Reo-Coker,,,,,,,,,,Nigel Reo-Coker,"Feb 22, 2007",FIFA 07
A. Niemi,,,,,,,,,,Antti Niemi,"Feb 22, 2007",FIFA 07
D. Webber,,,,,,,,,,Danny Webber,"Feb 22, 2007",FIFA 07
U. Ramé,,,,,,,,,,Ulrich Ramé,"Feb 22, 2007",FIFA 07
C. Itandje,,,,,,,,,,Charles Itandje,"Feb 22, 2007",FIFA 07
Hilton,,,,,,,,,,Hilton,"Feb 22, 2007",FIFA 07
Rafael,,,,,,,,,,Rafael,"Feb 22, 2007",FIFA 07
M. Bodmer,,,,,,,,,,Mathieu Bodmer,"Feb 22, 2007",FIFA 07
E. Tavlaridis,,,,,,,,,,Efstathios Tavlaridis,"Feb 22, 2007",FIFA 07
Caçapa,,,,,,,,,,Caçapa,"Feb 22, 2007",FIFA 07
A. Réveillère,,,,,,,,,,Anthony Réveillère,"Feb 22, 2007",FIFA 07
P. Luyindula,,,,,,,,,,Peguy Luyindula,"Feb 22, 2007",FIFA 07
D. Rozehnal,,,,,,,,,,David Rozehnal,"Feb 22, 2007",FIFA 07
D. Moreira,,,,,,,,,,Daniel Moreira,"Feb 22, 2007",FIFA 07
H. Beye,,,,,,,,,,Habib Beye,"Feb 22, 2007",FIFA 07
O. Hargreaves,,,,,,,,,,Owen Hargreaves,"Feb 22, 2007",FIFA 07
R. Santa Cruz,,,,,,,,,,Roque Santa Cruz,"Feb 22, 2007",FIFA 07
A. Frei,,,,,,,,,,Alexander Frei,"Feb 22, 2007",FIFA 07
Roque Júnior,,,,,,,,,,Roque Júnior,"Feb 22, 2007",FIFA 07
P. Freier,,,,,,,,,,Paul Freier,"Feb 22, 2007",FIFA 07
T. Barnetta,,,,,,,,,,Tranquillo Barnetta,"Feb 22, 2007",FIFA 07
H. Altintop,,,,,,,,,,Halil Altintop,"Feb 22, 2007",FIFA 07
P. Pasanen,,,,,,,,,,Petri Pasanen,"Feb 22, 2007",FIFA 07
A. Friedrich,,,,,,,,,,Arne Friedrich,"Feb 22, 2007",FIFA 07
T. Galásek,,,,,,,,,,Tomás Galásek,"Feb 22, 2007",FIFA 07
K. Hofland,,,,,,,,,,Kevin Hofland,"Feb 22, 2007",FIFA 07
D. Klimowicz,,,,,,,,,,Diego Klimowicz,"Feb 22, 2007",FIFA 07
R. Zampagna,,,,,,,,,,Riccardo Zampagna,"Feb 22, 2007",FIFA 07
F. Toldo,,,,,,,,,,Francesco Toldo,"Feb 22, 2007",FIFA 07
D. Stankovic,,,,,,,,,,Dejan Stankovic,"Feb 22, 2007",FIFA 07
S. Mauri,,,,,,,,,,Stefano Mauri,"Feb 22, 2007",FIFA 07
L. Jimenez,,,,,,,,,,Luis Antonio Jimenez,"Feb 22, 2007",FIFA 07
F. Inzaghi,,,,,,,,,,Filippo Inzaghi,"Feb 22, 2007",FIFA 07
G. Gattuso,,,,,,,,,,Gennaro Gattuso,"Feb 22, 2007",FIFA 07
Serginho,,,,,,,,,,Serginho,"Feb 22, 2007",FIFA 07
D. Morfeo,,,,,,,,,,Domenico Morfeo,"Feb 22, 2007",FIFA 07
Mancini,,,,,,,,,,Mancini,"Feb 22, 2007",FIFA 07
D. Pizarro,,,,,,,,,,David Pizarro,"Feb 22, 2007",FIFA 07
N. Amoruso,,,,,,,,,,Nicola Amoruso,"Feb 22, 2007",FIFA 07
I. Vannucchi,,,,,,,,,,Ighli Vannucchi,"Feb 22, 2007",FIFA 07
F. Cozza,,,,,,,,,,Francesco Cozza,"Feb 22, 2007",FIFA 07
C. Zaccardo,,,,,,,,,,Cristian Zaccardo,"Feb 22, 2007",FIFA 07
A. Grandoni,,,,,,,,,,Alessandro Grandoni,"Feb 22, 2007",FIFA 07
M. Iuliano,,,,,,,,,,Mark Iuliano,"Feb 22, 2007",FIFA 07
M. Petrov,,,,,,,,,,Martin Petrov,"Feb 22, 2007",FIFA 07
M. Rodríguez,,,,,,,,,,Maximiliano Rodríguez,"Feb 22, 2007",FIFA 07
Mista,,,,,,,,,,Mista,"Feb 22, 2007",FIFA 07
J. Saviola,,,,,,,,,,Javier Saviola,"Feb 22, 2007",FIFA 07
G. Van Bronckhorst,,,,,,,,,,Giovanni Van Bronckhorst,"Feb 22, 2007",FIFA 07
Edmilson,,,,,,,,,,Edmilson,"Feb 22, 2007",FIFA 07
Etxeberria,,,,,,,,,,Etxeberria,"Feb 22, 2007",FIFA 07
C. Kameni,,,,,,,,,,Carlos Idriss Kameni,"Feb 22, 2007",FIFA 07
D. Kovacevic,,,,,,,,,,Darko Kovacevic,"Feb 22, 2007",FIFA 07
E. Maresca,,,,,,,,,,Enzo Maresca,"Feb 22, 2007",FIFA 07
A. Kerzhakov,,,,,,,,,,Alexandr Kerzhakov,"Feb 22, 2007",FIFA 07
Marcos Senna,,,,,,,,,,Marcos Senna,"Feb 22, 2007",FIFA 07
L. Robert,,,,,,,,,,Laurent Robert,"Feb 22, 2007",FIFA 07
Salva Ballesta,,,,,,,,,,Salva Ballesta,"Feb 22, 2007",FIFA 07
A. Hleb,,,,,,,,,,Aliaksandr Hleb,"Feb 22, 2007",FIFA 07
O. Mellberg,,,,,,,,,,Olof Mellberg,"Feb 22, 2007",FIFA 07
S. Maloney,,,,,,,,,,Shaun Maloney,"Feb 22, 2007",FIFA 07
A. Ooijer,,,,,,,,,,André Ooijer,"Feb 22, 2007",FIFA 07
N. Anelka,,,,,,,,,,Nicolas Anelka,"Feb 22, 2007",FIFA 07
K. Nolan,,,,,,,,,,Kevin Nolan,"Feb 22, 2007",FIFA 07
A. Van der Meyde,,,,,,,,,,Andy Van der Meyde,"Feb 22, 2007",FIFA 07
J. Beattie,,,,,,,,,,James Beattie,"Feb 22, 2007",FIFA 07
J. Riise,,,,,,,,,,John Arne Riise,"Feb 22, 2007",FIFA 07
M. Sissoko,,,,,,,,,,Mohamed Sissoko,"Feb 22, 2007",FIFA 07
D. Vassell,,,,,,,,,,Darius Vassell,"Feb 22, 2007",FIFA 07
D. Beasley,,,,,,,,,,DaMarcus Beasley,"Feb 22, 2007",FIFA 07
J. O'Shea,,,,,,,,,,John O'Shea,"Feb 22, 2007",FIFA 07
W. Brown,,,,,,,,,,Wes Brown,"Feb 22, 2007",FIFA 07
A. Smith,,,,,,,,,,Alan Smith,"Feb 22, 2007",FIFA 07
G. Boateng,,,,,,,,,,George Boateng,"Feb 22, 2007",FIFA 07
G. Mendieta,,,,,,,,,,Gaizka Mendieta,"Feb 22, 2007",FIFA 07
Emre,,,,,,,,,,Emre,"Feb 22, 2007",FIFA 07
N. Solano,,,,,,,,,,Nolberto Solano,"Feb 22, 2007",FIFA 07
D. Zokora,,,,,,,,,,Didier Zokora,"Feb 22, 2007",FIFA 07
J. Jenas,,,,,,,,,,Jermaine Jenas,"Feb 22, 2007",FIFA 07
J. Bullard,,,,,,,,,,Jimmy Bullard,"Feb 22, 2007",FIFA 07
S. Davies,,,,,,,,,,Simon Davies,"Feb 22, 2007",FIFA 07
P. Kenny,,,,,,,,,,Paddy Kenny,"Feb 22, 2007",FIFA 07
K. Akalé,,,,,,,,,,Kanga Akalé,"Feb 22, 2007",FIFA 07
M. Chamakh,,,,,,,,,,Marouane Chamakh,"Feb 22, 2007",FIFA 07
J. Faubert,,,,,,,,,,Julien Faubert,"Feb 22, 2007",FIFA 07
S. Keita,,,,,,,,,,Seydou Keita,"Feb 22, 2007",FIFA 07
M. Baros,,,,,,,,,,Milan Baros,"Feb 22, 2007",FIFA 07
P. Müller,,,,,,,,,,Patrick Müller,"Feb 22, 2007",FIFA 07
F. Roma,,,,,,,,,,Flavio Roma,"Feb 22, 2007",FIFA 07
S. Monsoreau,,,,,,,,,,Sylvain Monsoreau,"Feb 22, 2007",FIFA 07
E. Faé,,,,,,,,,,Emerse Faé,"Feb 22, 2007",FIFA 07
J. Utaka,,,,,,,,,,John Utaka,"Feb 22, 2007",FIFA 07
J. Leroy,,,,,,,,,,Jérôme Leroy,"Feb 22, 2007",FIFA 07
J. Elmander,,,,,,,,,,Johan Elmander,"Feb 22, 2007",FIFA 07
M. Scholl,,,,,,,,,,Mehmet Scholl,"Feb 22, 2007",FIFA 07
Tinga,,,,,,,,,,Tinga,"Feb 22, 2007",FIFA 07
F. Insúa,,,,,,,,,,Federico Insúa,"Feb 22, 2007",FIFA 07
F. Ernst,,,,,,,,,,Fabian Ernst,"Feb 22, 2007",FIFA 07
P. Pardo,,,,,,,,,,Pável Pardo,"Feb 22, 2007",FIFA 07
P. Owomoyela,,,,,,,,,,Patrick Owomoyela,"Feb 22, 2007",FIFA 07
Z. Misimovic,,,,,,,,,,Zvjezdan Misimovic,"Feb 22, 2007",FIFA 07
Mineiro,,,,,,,,,,Mineiro,"Feb 22, 2007",FIFA 07
D. Wache,,,,,,,,,,Dimo Wache,"Feb 22, 2007",FIFA 07
R. Vittek,,,,,,,,,,Robert Vittek,"Feb 22, 2007",FIFA 07
F. Quiroga,,,,,,,,,,Facundo Quiroga,"Feb 22, 2007",FIFA 07
F. Grosso,,,,,,,,,,Fabio Grosso,"Feb 22, 2007",FIFA 07
Maxwell,,,,,,,,,,Maxwell,"Feb 22, 2007",FIFA 07
M. Oddo,,,,,,,,,,Massimo Oddo,"Feb 22, 2007",FIFA 07
M. Jankulovski,,,,,,,,,,Marek Jankulovski,"Feb 22, 2007",FIFA 07
D. De Rossi,,,,,,,,,,Daniele De Rossi,"Feb 22, 2007",FIFA 07
M. De Sanctis,,,,,,,,,,Morgan De Sanctis,"Feb 22, 2007",FIFA 07
E. Bonazzoli,,,,,,,,,,Emiliano Bonazzoli,"Feb 22, 2007",FIFA 07
T. Locatelli,,,,,,,,,,Tomas Locatelli,"Feb 22, 2007",FIFA 07
A. Budel,,,,,,,,,,Alessandro Budel,"Feb 22, 2007",FIFA 07
C. Amauri,,,,,,,,,,Carvalho Amauri,"Feb 22, 2007",FIFA 07
S. Kuffour,,,,,,,,,,Samuel Osei Kuffour,"Feb 22, 2007",FIFA 07
S. Fiore,,,,,,,,,,Stefano Fiore,"Feb 22, 2007",FIFA 07
V. Candela,,,,,,,,,,Vincent Candela,"Feb 22, 2007",FIFA 07
P. Krøldrup,,,,,,,,,,Per Krøldrup,"Feb 22, 2007",FIFA 07
P. Luccin,,,,,,,,,,Peter Bernard Luccin,"Feb 22, 2007",FIFA 07
L. Franco,,,,,,,,,,Leonardo Neoren Franco,"Feb 22, 2007",FIFA 07
Sylvinho,,,,,,,,,,Sylvinho,"Feb 22, 2007",FIFA 07
César,,,,,,,,,,César,"Feb 22, 2007",FIFA 07
D. Milito,,,,,,,,,,Diego Alberto Milito,"Feb 22, 2007",FIFA 07
Fernando,,,,,,,,,,Fernando,"Feb 22, 2007",FIFA 07
Luis García,,,,,,,,,,Luis García,"Feb 22, 2007",FIFA 07
Miguel,,,,,,,,,,Miguel,"Feb 22, 2007",FIFA 07
Del Horno,,,,,,,,,,Del Horno,"Feb 22, 2007",FIFA 07
Edu,,,,,,,,,,Edu,"Feb 22, 2007",FIFA 07
Albelda,,,,,,,,,,Albelda,"Feb 22, 2007",FIFA 07
David López,,,,,,,,,,David López,"Feb 22, 2007",FIFA 07
Cuéllar,,,,,,,,,,Cuéllar,"Feb 22, 2007",FIFA 07
Palop,,,,,,,,,,Palop,"Feb 22, 2007",FIFA 07
I. Dragutinovic,,,,,,,,,,Ivica Dragutinovic,"Feb 22, 2007",FIFA 07
Daniel Alves,,,,,,,,,,Daniel Alves,"Feb 22, 2007",FIFA 07
Molina,,,,,,,,,,Molina,"Feb 22, 2007",FIFA 07
E. Adebayor,,,,,,,,,,Emmanuel Adebayor,"Feb 22, 2007",FIFA 07
G. Clichy,,,,,,,,,,Gaël Clichy,"Feb 22, 2007",FIFA 07
G. Barry,,,,,,,,,,Gareth Barry,"Feb 22, 2007",FIFA 07
J. Ángel,,,,,,,,,,Juan Pablo Ángel,"Feb 22, 2007",FIFA 07
J. Carew,,,,,,,,,,John Carew,"Feb 22, 2007",FIFA 07
B. Friedel,,,,,,,,,,Brad Friedel,"Feb 22, 2007",FIFA 07
S. Nonda,,,,,,,,,,Shabani Nonda,"Feb 22, 2007",FIFA 07
K. Davies,,,,,,,,,,Kevin Davies,"Feb 22, 2007",FIFA 07
T. Ben Haim,,,,,,,,,,Tal Ben Haim,"Feb 22, 2007",FIFA 07
F. Aurelio,,,,,,,,,,Fabio Aurelio,"Feb 22, 2007",FIFA 07
H. Trabelsi,,,,,,,,,,Hatem Trabelsi,"Feb 22, 2007",FIFA 07
Park Ji Sung,,,,,,,,,,Park Ji Sung,"Feb 22, 2007",FIFA 07
P. Evra,,,,,,,,,,Patrice Evra,"Feb 22, 2007",FIFA 07
N. Vidic,,,,,,,,,,Nemanja Vidic,"Feb 22, 2007",FIFA 07
M. Schwarzer,,,,,,,,,,Mark Schwarzer,"Feb 22, 2007",FIFA 07
F. Rochemback,,,,,,,,,,Fábio Rochemback,"Feb 22, 2007",FIFA 07
R. Huth,,,,,,,,,,Robert Huth,"Feb 22, 2007",FIFA 07
A. Luque,,,,,,,,,,Albert Luque,"Feb 22, 2007",FIFA 07
S. Taylor,,,,,,,,,,Steven Taylor,"Feb 22, 2007",FIFA 07
S. Malbranque,,,,,,,,,,Steed Malbranque,"Feb 22, 2007",FIFA 07
Lee Young Pyo,,,,,,,,,,Lee Young Pyo,"Feb 22, 2007",FIFA 07
P. Chimbonda,,,,,,,,,,Pascal Chimbonda,"Feb 22, 2007",FIFA 07
A. Lennon,,,,,,,,,,Aaron Lennon,"Feb 22, 2007",FIFA 07
L. Boa Morte,,,,,,,,,,Luís Boa Morte,"Feb 22, 2007",FIFA 07
M. Harewood,,,,,,,,,,Marlon Harewood,"Feb 22, 2007",FIFA 07
J. Hasselbaink,,,,,,,,,,Jimmy Floyd Hasselbaink,"Feb 22, 2007",FIFA 07
V. Montella,,,,,,,,,,Vincenzo Montella,"Feb 22, 2007",FIFA 07
P. Diop,,,,,,,,,,Papa Bouba Diop,"Feb 22, 2007",FIFA 07
Z. Knight,,,,,,,,,,Zat Knight,"Feb 22, 2007",FIFA 07
A. Cole,,,,,,,,,,Andrew Cole,"Feb 22, 2007",FIFA 07
S. Campbell,,,,,,,,,,Sol Campbell,"Feb 22, 2007",FIFA 07
L. LuaLua,,,,,,,,,,Lomano Tresor LuaLua,"Feb 22, 2007",FIFA 07
A. De Zeeuw,,,,,,,,,,Arjan De Zeeuw,"Feb 22, 2007",FIFA 07
H. Camara,,,,,,,,,,Henri Camara,"Feb 22, 2007",FIFA 07
F. Cool,,,,,,,,,,Fabien Cool,"Feb 22, 2007",FIFA 07
V. Smicer,,,,,,,,,,Vladimir Smicer,"Feb 22, 2007",FIFA 07
J. Enakarhire,,,,,,,,,,Joseph Enakarhire,"Feb 22, 2007",FIFA 07
R. Mavuba,,,,,,,,,,Rio Antonio Mavuba,"Feb 22, 2007",FIFA 07
D. Cousin,,,,,,,,,,Daniel Cousin,"Feb 22, 2007",FIFA 07
A. Diarra,,,,,,,,,,Alou Diarra,"Feb 22, 2007",FIFA 07
F. Clerc,,,,,,,,,,François Clerc,"Feb 22, 2007",FIFA 07
C. Meriem,,,,,,,,,,Camel Meriem,"Feb 22, 2007",FIFA 07
M. Gallardo,,,,,,,,,,Marcelo Daniel Gallardo,"Feb 22, 2007",FIFA 07
C. Rodríguez,,,,,,,,,,Cristian Rodríguez,"Feb 22, 2007",FIFA 07
J. Mensah,,,,,,,,,,John Mensah,"Feb 22, 2007",FIFA 07
J. Rodriguez,,,,,,,,,,Julien Rodriguez,"Feb 22, 2007",FIFA 07
R. Le Crom,,,,,,,,,,Ronan Le Crom,"Feb 22, 2007",FIFA 07
Y. Pelé,,,,,,,,,,Yohann Pelé,"Feb 22, 2007",FIFA 07
P. Feindouno,,,,,,,,,,Pascal Feindouno,"Feb 22, 2007",FIFA 07
V. Hognon,,,,,,,,,,Vincent Hognon,"Feb 22, 2007",FIFA 07
W. Sonck,,,,,,,,,,Wesley Sonck,"Feb 22, 2007",FIFA 07
D. Jarolim,,,,,,,,,,David Jarolim,"Feb 22, 2007",FIFA 07
T. Atouba,,,,,,,,,,Thimothée Atouba,"Feb 22, 2007",FIFA 07
N. de Jong,,,,,,,,,,Nigel de Jong,"Feb 22, 2007",FIFA 07
S. Barbarez,,,,,,,,,,Sergej Barbarez,"Feb 22, 2007",FIFA 07
H. Butt,,,,,,,,,,Hans-Jörg Butt,"Feb 22, 2007",FIFA 07
L. Kobiashvili,,,,,,,,,,Levan Kobiashvili,"Feb 22, 2007",FIFA 07
K. Kuranyi,,,,,,,,,,Kevin Kuranyi,"Feb 22, 2007",FIFA 07
R. Osorio,,,,,,,,,,Ricardo Osorio,"Feb 22, 2007",FIFA 07
F. Baumann,,,,,,,,,,Frank Baumann,"Feb 22, 2007",FIFA 07
A. Reinke,,,,,,,,,,Andreas Reinke,"Feb 22, 2007",FIFA 07
Naldo,,,,,,,,,,Naldo,"Feb 22, 2007",FIFA 07
D. van Burik,,,,,,,,,,Dick van Burik,"Feb 22, 2007",FIFA 07
S. Jentzsch,,,,,,,,,,Simon Jentzsch,"Feb 22, 2007",FIFA 07
S. Kyrgiakos,,,,,,,,,,Sotirios Kyrgiakos,"Feb 22, 2007",FIFA 07
A. Streit,,,,,,,,,,Albert Streit,"Feb 22, 2007",FIFA 07
Júlio César,,,,,,,,,,Júlio César,"Feb 22, 2007",FIFA 07
V. Behrami,,,,,,,,,,Valon Behrami,"Feb 22, 2007",FIFA 07
C. Seedorf,,,,,,,,,,Clarence Seedorf,"Feb 22, 2007",FIFA 07
M. Ambrosini,,,,,,,,,,Massimo Ambrosini,"Feb 22, 2007",FIFA 07
J. Bolano,,,,,,,,,,Jorge Bolano,"Feb 22, 2007",FIFA 07
F. Tavano,,,,,,,,,,Francesco Tavano,"Feb 22, 2007",FIFA 07
C. Wilhelmsson,,,,,,,,,,Christian Wilhelmsson,"Feb 22, 2007",FIFA 07
A. Rosina,,,,,,,,,,Alessandro Rosina,"Feb 22, 2007",FIFA 07
C. Obodo,,,,,,,,,,Christian Obodo,"Feb 22, 2007",FIFA 07
M. Brighi,,,,,,,,,,Matteo Brighi,"Feb 22, 2007",FIFA 07
S. Almirón,,,,,,,,,,Sergio Almirón,"Feb 22, 2007",FIFA 07
R. Olivera,,,,,,,,,,Ruben Olivera,"Feb 22, 2007",FIFA 07
A. Langella,,,,,,,,,,Antonio Langella,"Feb 22, 2007",FIFA 07
A. Diana,,,,,,,,,,Aimo Diana,"Feb 22, 2007",FIFA 07
M. Bresciano,,,,,,,,,,Mark Bresciano,"Feb 22, 2007",FIFA 07
D. Balleri,,,,,,,,,,David Balleri,"Feb 22, 2007",FIFA 07
Rafael,,,,,,,,,,Rafael,"Feb 22, 2007",FIFA 07
M. Santana,,,,,,,,,,Mario Alberto Santana,"Feb 22, 2007",FIFA 07
L. Galletti,,,,,,,,,,Luciano Martín Galletti,"Feb 22, 2007",FIFA 07
Belletti,,,,,,,,,,Belletti,"Feb 22, 2007",FIFA 07
Cicinho,,,,,,,,,,Cicinho,"Feb 22, 2007",FIFA 07
Sergio García,,,,,,,,,,Sergio García,"Feb 22, 2007",FIFA 07
Urzaiz,,,,,,,,,,Urzaiz,"Feb 22, 2007",FIFA 07
Edú,,,,,,,,,,Edú,"Feb 22, 2007",FIFA 07
Iraizoz,,,,,,,,,,Iraizoz,"Feb 22, 2007",FIFA 07
Pablo Alfaro,,,,,,,,,,Pablo Alfaro,"Feb 22, 2007",FIFA 07
N. Zigic,,,,,,,,,,Nikola Zigic,"Feb 22, 2007",FIFA 07
Jorge López,,,,,,,,,,Jorge López,"Feb 22, 2007",FIFA 07
Gavilán,,,,,,,,,,Gavilán,"Feb 22, 2007",FIFA 07
B. Romeo,,,,,,,,,,Bernardo Daniel Romeo,"Feb 22, 2007",FIFA 07
Valdo,,,,,,,,,,Valdo,"Feb 22, 2007",FIFA 07
Puñal,,,,,,,,,,Puñal,"Feb 22, 2007",FIFA 07
Soldado,,,,,,,,,,Soldado,"Feb 22, 2007",FIFA 07
J. Escudé,,,,,,,,,,Julien Escudé,"Feb 22, 2007",FIFA 07
Adriano,,,,,,,,,,Adriano,"Feb 22, 2007",FIFA 07
G. Rodríguez,,,,,,,,,,Gonzalo Javier Rodríguez,"Feb 22, 2007",FIFA 07
Viqueira,,,,,,,,,,Viqueira,"Feb 22, 2007",FIFA 07
Iago Bouzón,,,,,,,,,,Iago Bouzón,"Feb 22, 2007",FIFA 07
Meyong,,,,,,,,,,Meyong,"Feb 22, 2007",FIFA 07
P. Cavallero,,,,,,,,,,Pablo Óscar Cavallero,"Feb 22, 2007",FIFA 07
Á. Vivar Dorado,,,,,,,,,,Ángel Manuel Vivar Dorado,"Feb 22, 2007",FIFA 07
Javier Portillo,,,,,,,,,,Javier Portillo,"Feb 22, 2007",FIFA 07
E. Eboué,,,,,,,,,,Emmanuel Eboué,"Feb 22, 2007",FIFA 07
T. Sørensen,,,,,,,,,,Thomas Sørensen,"Feb 22, 2007",FIFA 07
Z. Khizanishvili,,,,,,,,,,Zurab Khizanishvili,"Feb 22, 2007",FIFA 07
S. Giannakopoulos,,,,,,,,,,Stelios Giannakopoulos,"Feb 22, 2007",FIFA 07
Q. Fortune,,,,,,,,,,Quinton Fortune,"Feb 22, 2007",FIFA 07
I. Tal,,,,,,,,,,Idan Tal,"Feb 22, 2007",FIFA 07
P. Neville,,,,,,,,,,Phil Neville,"Feb 22, 2007",FIFA 07
T. Howard,,,,,,,,,,Tim Howard,"Feb 22, 2007",FIFA 07
N. Valente,,,,,,,,,,Nuno Valente,"Feb 22, 2007",FIFA 07
Arteta,,,,,,,,,,Arteta,"Feb 22, 2007",FIFA 07
S. Finnan,,,,,,,,,,Steve Finnan,"Feb 22, 2007",FIFA 07
P. Crouch,,,,,,,,,,Peter Crouch,"Feb 22, 2007",FIFA 07
D. Hamann,,,,,,,,,,Dietmar Hamann,"Feb 22, 2007",FIFA 07
G. Samaras,,,,,,,,,,Georgios Samaras,"Feb 22, 2007",FIFA 07
H. Larsson,,,,,,,,,,Henrik Larsson,"Feb 22, 2007",FIFA 07
S. Ameobi,,,,,,,,,,Shola Ameobi,"Feb 22, 2007",FIFA 07
A. Gardner,,,,,,,,,,Anthony Gardner,"Feb 22, 2007",FIFA 07
D. Gabbidon,,,,,,,,,,Danny Gabbidon,"Feb 22, 2007",FIFA 07
L. Neill,,,,,,,,,,Lucas Neill,"Feb 22, 2007",FIFA 07
A. Reid,,,,,,,,,,Andy Reid,"Feb 22, 2007",FIFA 07
B. McBride,,,,,,,,,,Brian McBride,"Feb 22, 2007",FIFA 07
A. Smertin,,,,,,,,,,Alexey Smertin,"Feb 22, 2007",FIFA 07
N. Kanu,,,,,,,,,,Nwankwo Kanu,"Feb 22, 2007",FIFA 07
Lauren,,,,,,,,,,Lauren,"Feb 22, 2007",FIFA 07
S. Davis,,,,,,,,,,Sean Davis,"Feb 22, 2007",FIFA 07
S. Sidwell,,,,,,,,,,Steve Sidwell,"Feb 22, 2007",FIFA 07
P. Jagielka,,,,,,,,,,Phil Jagielka,"Feb 22, 2007",FIFA 07
K. Kilbane,,,,,,,,,,Kevin Kilbane,"Feb 22, 2007",FIFA 07
S. Grichting,,,,,,,,,,Stephane Grichting,"Feb 22, 2007",FIFA 07
I. Jeleń,,,,,,,,,,Ireneusz Jeleń,"Feb 22, 2007",FIFA 07
J. Darcheville,,,,,,,,,,Jean-Claude Darcheville,"Feb 22, 2007",FIFA 07
S. Dalmat,,,,,,,,,,Stéphane Dalmat,"Feb 22, 2007",FIFA 07
J. Francia,,,,,,,,,,Juan Pablo Francia,"Feb 22, 2007",FIFA 07
Jussiê,,,,,,,,,,Jussiê,"Feb 22, 2007",FIFA 07
A. Dindane,,,,,,,,,,Aruna Dindane,"Feb 22, 2007",FIFA 07
T. Sylva,,,,,,,,,,Tony Mario Sylva,"Feb 22, 2007",FIFA 07
G. Tafforeau,,,,,,,,,,Grégory Tafforeau,"Feb 22, 2007",FIFA 07
A. Keita,,,,,,,,,,Abdul Kader Keita,"Feb 22, 2007",FIFA 07
J. Plasil,,,,,,,,,,Jaroslav Plasil,"Feb 22, 2007",FIFA 07
J. Abardonado,,,,,,,,,,Jacques Abardonado,"Feb 22, 2007",FIFA 07
J. Alonzo,,,,,,,,,,Jérôme Alonzo,"Feb 22, 2007",FIFA 07
O. Thomert,,,,,,,,,,Olivier Thomert,"Feb 22, 2007",FIFA 07
C. Revault,,,,,,,,,,Christophe Revault,"Feb 22, 2007",FIFA 07
S. Marlet,,,,,,,,,,Steve Marlet,"Feb 22, 2007",FIFA 07
C. Carrasso,,,,,,,,,,Cédric Carrasso,"Feb 22, 2007",FIFA 07
T. Richert,,,,,,,,,,Teddy Richert,"Feb 22, 2007",FIFA 07
Y. Lachuer,,,,,,,,,,Yann Lachuer,"Feb 22, 2007",FIFA 07
J. Janot,,,,,,,,,,Jérémie Janot,"Feb 22, 2007",FIFA 07
Ilan,,,,,,,,,,Ilan,"Feb 22, 2007",FIFA 07
A. Ouaddou,,,,,,,,,,Abdeslam Ouaddou,"Feb 22, 2007",FIFA 07
S. Kehl,,,,,,,,,,Sebastian Kehl,"Feb 22, 2007",FIFA 07
Dédé,,,,,,,,,,Dédé,"Feb 22, 2007",FIFA 07
Nelson Valdez,,,,,,,,,,Nelson Valdez,"Feb 22, 2007",FIFA 07
B. Svensson,,,,,,,,,,Bo Svensson,"Feb 22, 2007",FIFA 07
Zé António,,,,,,,,,,Zé António,"Feb 22, 2007",FIFA 07
M. Jansen,,,,,,,,,,Marcell Jansen,"Feb 22, 2007",FIFA 07
G. Demel,,,,,,,,,,Guy Demel,"Feb 22, 2007",FIFA 07
D. Ljuboja,,,,,,,,,,Danijel Ljuboja,"Feb 22, 2007",FIFA 07
B. Reinhardt,,,,,,,,,,Bastian Reinhardt,"Feb 22, 2007",FIFA 07
S. Kirschstein,,,,,,,,,,Sascha Kirschstein,"Feb 22, 2007",FIFA 07
Z. Bajramovic,,,,,,,,,,Zlatan Bajramovic,"Feb 22, 2007",FIFA 07
S. Larsen,,,,,,,,,,Søren Larsen,"Feb 22, 2007",FIFA 07
H. Altintop,,,,,,,,,,Hamit Altintop,"Feb 22, 2007",FIFA 07
Rafinha,,,,,,,,,,Rafinha,"Feb 22, 2007",FIFA 07
B. Lauth,,,,,,,,,,Benjamin Lauth,"Feb 22, 2007",FIFA 07
M. Rosenberg,,,,,,,,,,Marcus Rosenberg,"Feb 22, 2007",FIFA 07
P. Womé,,,,,,,,,,Pierre Womé,"Feb 22, 2007",FIFA 07
M. Maltritz,,,,,,,,,,Marcel Maltritz,"Feb 22, 2007",FIFA 07
F. Trojan,,,,,,,,,,Filip Trojan,"Feb 22, 2007",FIFA 07
C. Fiedler,,,,,,,,,,Christian Fiedler,"Feb 22, 2007",FIFA 07
